Name,Bioyield Point,Rupture Point
1_1,61.0002,72.8146
1_2,50.4899,65.3227
1_3,38.991,53.0497
2_1,15.107,71.9595
2_2,15.6649,57.1084
2_3,33.9357,51.1615
3_1,53.575,76.3528
3_2,35.2248,59.5371
3_3,33.4899,47.9357
4_1,48.794,73.0952
4_2,45.7231,68.6828
4_3,34.0708,51.81
5_1,49.6713,77.7833
5_2,47.0336,65.1089
5_3,46.4813,66.1008
6_1,48.2273,71.2117
6_2,41.3831,65.9212
6_3,36.6028,54.0614
7_1,46.5783,72.5436
7_2,50.4907,75.4523
7_3,36.6465,51.6399
8_1,50.4764,67.0894
8_2,45.7382,66.9583
8_3,38.832,57.509
9_1,49.9344,81.0814
9_2,42.2295,66.2494
9_3,34.6851,58.4857
10_1,50.2276,74.6226
10_2,47.1242,66.8224
10_3,43.2245,55.8098
11_1,54.9634,80.0427
11_2,46.4336,73.5943
11_3,44.4682,56.0737
12_1,47.373,69.4625
12_2,54.8832,73.839
12_3,44.5906,57.1275
13_1,46.3939,75.4007
13_2,49.6086,65.7622
13_3,41.6962,61.1639
14_1,52.6802,68.334
14_2,50.0655,66.4687
14_3,37.694,50.9834
15_1,46.8755,67.2197
15_2,48.4165,62.2034
15_3,37.6026,49.0793
16_1,52.8558,71.4032
16_2,41.0104,61.5652
16_3,34.4261,51.2139
17_1,45.8988,56.0935
17_2,46.7897,60.3986
17_3,40.4024,55.7534
