Time,Force,Stroke,Stress,Strain
0,0.05245209,0,0.06678407,0
0.01,0.06755193,0.004133333,0.08600979,0.004133333
0.02,0.08583069,0.008333334,0.109283,0.008333334
0.03,0.1009305,0.0125,0.1285087,0.0125
0.04,0.1120567,0.01663333,0.1426751,0.01663333
0.05,0.1192093,0.02083333,0.151782,0.02083333
0.06,0.1239777,0.025,0.1578533,0.025
0.07,0.1263618,0.02916667,0.1608889,0.02916666
0.08,0.1319249,0.03333334,0.167972,0.03333334
0.09,0.1430511,0.03746667,0.1821384,0.03746667
0.1,0.1597404,0.04163333,0.2033879,0.04163333
0.11,0.1724561,0.04583333,0.2195779,0.04583333
0.12,0.1819928,0.04996667,0.2317205,0.04996667
0.13,0.1915296,0.05416667,0.243863,0.05416667
0.14,0.2098083,0.05833333,0.2671363,0.05833333
0.15,0.2328555,0.0625,0.2964808,0.0625
0.16,0.251929,0.06666667,0.3207659,0.06666667
0.17,0.2646446,0.0708,0.336956,0.0708
0.18,0.2749761,0.075,0.3501104,0.075
0.19,0.2789497,0.07916667,0.3551698,0.07916667
0.2,0.2805392,0.0833,0.3571936,0.0833
0.21,0.286897,0.0875,0.3652886,0.0875
0.22,0.3012021,0.09166667,0.3835025,0.09166667
0.23,0.316302,0.0958,0.4027282,0.0958
0.24,0.3274282,0.1,0.4168945,0.1
0.25,0.3353755,0.1041333,0.4270133,0.1041333
0.26,0.3393491,0.1083333,0.4320727,0.1083333
0.27,0.3457069,0.1125,0.4401677,0.1125
0.28,0.3560384,0.1166333,0.4533222,0.1166333
0.29,0.3711382,0.1208333,0.4725479,0.1208333
0.3,0.3830592,0.125,0.4877261,0.125
0.31,0.3838539,0.1291333,0.488738,0.1291333
0.32,0.3814697,0.1333333,0.4857023,0.1333333
0.33,0.3838539,0.1374667,0.488738,0.1374667
0.34,0.3918012,0.1416667,0.4988568,0.1416667
0.35,0.4005432,0.1458333,0.5099875,0.1458333
0.36,0.4124641,0.1499667,0.5251656,0.1499667
0.37,0.4307429,0.1541667,0.5484388,0.1541667
0.38,0.4506111,0.1583333,0.5737359,0.1583333
0.39,0.4649162,0.1624667,0.5919497,0.1624667
0.4,0.4728635,0.1666333,0.6020685,0.1666333
0.41,0.4752477,0.1708,0.6051041,0.1708
0.42,0.4736582,0.175,0.6030804,0.175
0.43,0.4776319,0.1791667,0.6081398,0.1791667
