Sample,Weight,Density Weight,Length,Width_top,Width_middle,Width_bottom,Dish_weight,Fresh_weight,Dry_weight,Water_content
1,109.4,,234,26.32,25.57,22.93,3.06,32.11,4.24,0.959380379
2,61.51,,192,24.43,21.99,22.24,3.09,26.44,4.02,0.960171306
3,112.5,,226,28.27,28.52,23.7,3.14,34.31,4.42,0.958934873
4,168.9,,259,32.67,30.35,27.72,3.11,47.58,4.88,0.960197886
5,82.85,,200,25.87,25.02,19.47,3.03,27.97,4.26,0.950681636
6,107.4,,208,27.77,28.38,23.91,3.1,34.95,4.38,0.959811617
7,238.88,236.8,257,37.84,36.77,30.66,3.09,56.65,4.96,0.965085885
8,120,119.2,231,28.62,28.74,24.61,3.05,36.03,4.28,0.962704669
9,159.61,157.8,244,30.4,32.48,25.68,3.08,41.22,4.55,0.961457787
10,162.82,161.4,249,31.2,31,24.13,3.06,42.74,4.52,0.963205645
11,109.58,107.9,182,25.64,28.1,22.99,3.11,34.96,4.3,0.962637363
12,124.59,122.9,175,30.5,26.74,25.87,3.09,38.81,4.45,0.961926092
13,167.25,166.2,233,32.23,32.7,26.27,3.06,47.75,4.67,0.963974043
14,119.9,118.5,230,28.85,24.02,22.99,3.02,36,4.55,0.953608247
15,70.63,69.5,185,23.65,24.65,20.86,3.04,24.5,4.03,0.953867661
